Item ID,Item Name,Description,Sales Rate,Category Name,image_url,Available Stock
1,GOPI TASTY,Fresh quality product from GOPI NAMKEEN category.,10,GOPI NAMKEEN,,15
2,MINI CHOCOBAR,Fresh quality product from Havmor category.,10,Havmor,,15
3,KASHMIRI KULFI (30RS),Fresh quality product from Havmor category.,30,Havmor,,15
4,YELLOW KHEERU,Fresh quality product from KHEERU category.,30,KHEERU,,15
5,WHITE KHEERU (500g),Fresh quality product from KHEERU category.,25,KHEERU,,15
6,DAVAT JEERA,Fresh quality product from Cold Drinks category.,10,Cold Drinks,,15
7,GIPPI POP RINGS CHEESE (10RS),Fresh quality product from Snakes category.,10,Snakes,amul_cheese.jpg,15
8,240G MUNG DAAL,Fresh quality product from Snakes category.,45,Snakes,,15
9,145G CHATAKA PATAKA MASALA MASTI,Fresh quality product from Snakes category.,30,Snakes,,15
10,KATAK BATAK CHILLI LEMON (10RS),Fresh quality product from Snakes category.,10,Snakes,,15
11,CRUNCHEX CHILLI TADKA (10RS),Fresh quality product from Snakes category.,10,Snakes,,15
12,MAGGIE (55G),Fresh quality product from Nestle category.,20,Nestle,,15
13,MAGGIE (75G),Fresh quality product from Nestle category.,15,Nestle,,15
14,JAY RANCHHOD RED CHILLI POWDER (200g),Fresh quality product from JAY RANCHHOD category.,120,JAY RANCHHOD,,15
15,JAY RANCHHOD KASHMIRI KUMTHI CHILLI POWDER (200g),Fresh quality product from JAY RANCHHOD category.,210,JAY RANCHHOD,,15
16,JAY RANCHHOD RED CHILLI POWDER (100g),Fresh quality product from JAY RANCHHOD category.,60,JAY RANCHHOD,,15
17,JAY RANCHHOD GARAM MASALA POWDER (100g),Fresh quality product from JAY RANCHHOD category.,110,JAY RANCHHOD,,15
18,JAY RANCHHOD KASHMIRI KUMTHI POWDER (100g),Fresh quality product from JAY RANCHHOD category.,105,JAY RANCHHOD,,15
19,JAY RANCHHOD CORIANDER CUMIN POWDER (200g),Fresh quality product from JAY RANCHHOD category.,100,JAY RANCHHOD,,15
20,JAY RANCHHOD CORIANDER CUMIN POWDER (100g),Fresh quality product from JAY RANCHHOD category.,50,JAY RANCHHOD,,15
21,JAY RANCHHOD TURMERIC POWDER (200g),Fresh quality product from JAY RANCHHOD category.,100,JAY RANCHHOD,,15
22,JAY RANCHHOD TURMERIC POWDER (100g),Fresh quality product from JAY RANCHHOD category.,52,JAY RANCHHOD,,15
23,surf excel (1.8L),Fresh quality product from Other category.,260,Other,,15
24,ENO,Fresh quality product from Other category.,60,Other,,15
25,KKRUNCH YOUERT BERRY,Fresh quality product from Havmor category.,60,Havmor,,15
26,SHANKAR SOUR MASALA,Fresh quality product from MASALA category.,290,MASALA,,15
27,SHANKAR SWEET MASALA,Fresh quality product from MASALA category.,290,MASALA,,15
28,HARPIC RED (500ML),Fresh quality product from Detergent category.,118,Detergent,,15
29,NIMBOOZ,Fresh quality product from Cold Drinks category.,20,Cold Drinks,,15
30,NYLON GATHIYA (10RS),Fresh quality product from Gopal category.,5,Gopal,,15
31,LASSI 200 ML,Fresh quality product from Amul category.,20,Amul,amul_lassi.jpg,15
32,SHRIKHAND ELAICHI (200G),Fresh quality product from Amul category.,55,Amul,amul_shrikhand.jpg,15
33,SHRIKHAND RAJBHOG (200G),Fresh quality product from Amul category.,60,Amul,amul_shrikhand.jpg,15
34,SHRIKHAND BUTTERSCOTCH (200G),Fresh quality product from Amul category.,58,Amul,amul_butter.jpg,15
35,RATNAGIRI HAPUS CUP (50RS),Fresh quality product from Havmor category.,50,Havmor,,15
36,TIKHA GATHIYA (250G),Fresh quality product from Gopal category.,49,Gopal,,15
37,CRUNCHEM MASALA MASTI WAFERS (10RS),Fresh quality product from Snakes category.,10,Snakes,,15
38,GARAM MASALA (10RS) V,Fresh quality product from VICHARE MASALA category.,10,VICHARE MASALA,,15
39,TEA MASALA (50G),Fresh quality product from VICHARE MASALA category.,73,VICHARE MASALA,,15
40,HALDI  POWDER (20RS),Fresh quality product from VICHARE MASALA category.,20,VICHARE MASALA,,15
41,PATNI MIRCH (20RS),Fresh quality product from VICHARE MASALA category.,20,VICHARE MASALA,,15
42,TEA MASALA (10RS),Fresh quality product from VICHARE MASALA category.,10,VICHARE MASALA,,15
43,DHANA POWDER (10RS),Fresh quality product from VICHARE MASALA category.,10,VICHARE MASALA,,15
44,HALDI POWDER (10RS),Fresh quality product from VICHARE MASALA category.,10,VICHARE MASALA,,15
